Codigo_prov;SEXO;CUENTA;Grupo_etario
2;1;2;60-64
2;2;21;80 y más
2;2;2;65-69
2;2;2;70-74
2;1;12;80 y más
2;2;2;55-59
2;2;1;75-79
2;1;3;65-69
2;1;1;40-44
2;1;2;50-54
2;1;7;75-79
2;1;3;70-74
6;2;2;40-44
6;1;20;70-74
6;1;34;80 y más
6;2;4;50-54
6;1;2;50-54
6;1;3;45-49
6;2;10;70-74
6;2;8;65-69
6;1;17;75-79
6;1;20;60-64
6;1;6;55-59
6;2;6;60-64
6;1;1;20-24
6;1;1;40-44
6;2;38;80 y más
6;1;1;30-34
6;1;21;65-69
6;2;9;75-79
6;2;2;55-59
10;1;1;45-49
10;1;1;80 y más
10;1;3;60-64
10;2;1;60-64
10;1;1;40-44
10;1;1;65-69
10;2;1;75-79
10;1;1;55-59
10;1;1;75-79
10;1;1;50-54
14;1;2;40-44
14;1;3;45-49
14;1;13;60-64
14;1;15;50-54
14;1;20;70-74
14;1;19;65-69
14;1;12;55-59
14;1;27;75-79
14;2;1;40-44
14;1;48;80 y más
14;2;1;45-49
14;2;1;50-54
14;2;20;70-74
14;2;6;60-64
14;2;16;65-69
14;2;7;55-59
14;2;16;75-79
14;1;1;30-34
14;2;64;80 y más
18;2;3;70-74
18;1;2;80 y más
18;1;3;55-59
18;2;1;50-54
18;1;2;45-49
18;1;10;70-74
18;1;1;60-64
18;2;3;65-69
18;1;6;75-79
18;1;1;65-69
18;2;5;75-79
18;2;1;55-59
18;2;12;80 y más
22;2;1;35-39
22;1;5;75-79
22;1;5;55-59
22;2;3;55-59
22;1;9;65-69
22;1;4;50-54
22;1;8;70-74
22;1;1;30-34
22;2;4;45-49
22;1;1;40-44
22;2;7;65-69
22;2;6;80 y más
22;2;5;60-64
22;2;4;75-79
22;1;7;80 y más
22;2;5;70-74
22;1;8;60-64
26;1;2;60-64
26;2;1;45-49
26;1;1;45-49
26;1;3;70-74
26;1;3;65-69
26;1;2;50-54
26;2;4;80 y más
26;2;2;75-79
26;1;3;55-59
26;1;5;80 y más
26;1;4;75-79
30;2;4;75-79
30;1;1;50-54
30;1;11;70-74
30;1;7;65-69
30;2;2;65-69
30;2;18;80 y más
30;1;4;75-79
30;2;4;70-74
30;1;1;40-44
30;2;7;60-64
30;1;1;45-49
30;2;1;55-59
30;1;2;60-64
30;2;1;50-54
30;1;8;80 y más
34;1;14;65-69
34;2;3;55-59
34;2;2;45-49
34;2;6;75-79
34;2;21;80 y más
34;2;7;65-69
34;1;13;60-64
34;2;7;60-64
34;2;6;50-54
34;1;1;45-49
34;2;10;70-74
34;1;12;55-59
34;1;2;40-44
34;1;19;80 y más
34;1;4;50-54
34;1;15;70-74
34;1;6;75-79
38;1;2;80 y más
38;2;5;80 y más
38;1;1;75-79
38;2;3;75-79
38;1;1;65-69
38;2;1;55-59
38;1;1;55-59
38;2;1;60-64
38;1;2;70-74
38;1;2;45-49
38;2;2;70-74
42;1;2;75-79
42;2;1;70-74
42;1;1;50-54
42;1;2;60-64
46;1;2;55-59
46;2;3;55-59
46;2;2;75-79
46;1;1;20-24
46;1;1;40-44
46;1;10;65-69
46;2;6;80 y más
46;2;1;45-49
46;1;2;45-49
46;2;2;60-64
46;1;3;60-64
46;1;7;70-74
46;1;4;50-54
46;1;4;75-79
46;2;5;65-69
46;1;1;80 y más
46;2;3;70-74
50;2;20;70-74
50;2;8;60-64
50;1;14;60-64
50;1;22;70-74
50;1;17;65-69
50;2;1;25-29
50;2;3;50-54
50;1;5;50-54
50;2;49;80 y más
50;1;44;80 y más
50;2;17;75-79
50;2;1;45-49
50;1;1;40-44
50;1;1;35-39
50;2;7;55-59
50;2;5;65-69
50;1;28;75-79
50;1;1;45-49
50;2;1;35-39
50;1;6;55-59
54;2;1;65-69
54;1;3;70-74
54;1;2;60-64
54;1;2;45-49
54;2;1;40-44
54;2;4;70-74
54;1;1;50-54
54;2;1;50-54
54;2;1;35-39
54;1;5;80 y más
54;1;5;55-59
54;2;1;75-79
54;2;7;80 y más
54;2;2;55-59
54;1;1;75-79
54;1;3;65-69
54;2;1;45-49
54;2;4;60-64
58;1;3;55-59
58;2;4;65-69
58;2;4;60-64
58;1;6;80 y más
58;2;6;70-74
58;1;2;65-69
58;1;3;60-64
58;1;1;50-54
58;2;6;75-79
58;2;11;80 y más
58;1;5;75-79
58;2;2;55-59
58;1;3;70-74
62;1;3;65-69
62;1;1;60-64
62;2;1;50-54
62;2;1;70-74
62;2;2;75-79
62;1;8;80 y más
62;2;5;80 y más
62;1;2;40-44
62;1;2;75-79
62;1;1;50-54
62;1;2;70-74
66;2;1;40-44
66;1;3;55-59
66;2;2;60-64
66;2;4;70-74
66;1;3;75-79
66;2;3;65-69
66;1;1;50-54
66;1;8;80 y más
66;1;10;70-74
66;1;3;45-49
66;2;11;80 y más
66;2;1;55-59
66;2;5;75-79
66;1;5;60-64
66;1;4;65-69
70;1;8;70-74
70;2;1;70-74
70;2;2;60-64
70;1;2;60-64
70;2;1;50-54
70;2;3;75-79
70;1;7;75-79
70;1;11;80 y más
70;2;1;55-59
70;2;2;65-69
70;2;18;80 y más
70;1;1;45-49
70;1;2;55-59
70;2;1;45-49
70;1;1;65-69
74;2;3;60-64
74;1;2;70-74
74;2;3;70-74
74;1;4;75-79
74;1;1;50-54
74;2;1;55-59
74;1;7;80 y más
74;1;2;60-64
74;2;3;75-79
74;2;4;80 y más
78;2;2;55-59
78;1;1;60-64
78;1;1;70-74
78;1;1;50-54
78;2;1;65-69
78;1;2;55-59
78;1;2;80 y más
78;2;1;75-79
78;2;4;80 y más
78;1;2;65-69
82;2;1;50-54
82;1;1;25-29
82;1;3;60-64
82;2;2;60-64
82;2;10;70-74
82;2;2;65-69
82;1;5;65-69
82;2;6;75-79
82;1;13;80 y más
82;2;26;80 y más
82;2;3;45-49
82;1;13;70-74
82;1;6;75-79
82;1;1;35-39
86;1;2;55-59
86;2;3;75-79
86;1;2;75-79
86;2;1;40-44
86;1;5;80 y más
86;1;1;50-54
86;1;2;60-64
86;2;1;60-64
86;2;3;80 y más
86;1;3;65-69
86;1;3;70-74
90;2;1;40-44
90;1;9;75-79
90;1;9;80 y más
90;1;1;45-49
90;2;2;70-74
90;1;1;55-59
90;1;5;70-74
90;2;1;50-54
90;2;1;55-59
90;1;5;60-64
90;1;2;50-54
90;2;2;45-49
90;2;2;60-64
90;2;9;80 y más
90;2;8;75-79
90;1;4;65-69
94;1;1;50-54
94;1;2;70-74
94;2;1;60-64
94;1;1;65-69
94;1;1;75-79
94;1;1;80 y más
